index,State_Name,District_Name,Crop_Year,Season,Crop,Area,Production,State,District_x,Year_x,Area Units,Production Units,Yield,Year_Normalized,District_y,Year_y,Rainfall
139315,Meghalaya,EAST GARO HILLS,2006,Autumn,Rice,10760.0,16215.0,Meghalaya,EAST GARO HILLS,2006-07,Hectare,Tonnes,1.5069702602230484,2006,EAST GARO HILLS,2006,2100.86
139316,Meghalaya,EAST GARO HILLS,2006,Kharif,Banana,1570.0,18314.0,Meghalaya,EAST GARO HILLS,2006-07,Hectare,Tonnes,11.664968152866242,2006,EAST GARO HILLS,2006,2100.86
139318,Meghalaya,EAST GARO HILLS,2006,Kharif,Maize,1044.0,1280.0,Meghalaya,EAST GARO HILLS,2006-07,Hectare,Tonnes,1.2260536398467432,2006,EAST GARO HILLS,2006,2100.86
139319,Meghalaya,EAST GARO HILLS,2006,Kharif,Mesta,140.0,642.0,Meghalaya,EAST GARO HILLS,2006-07,Hectare,Bales,4.585714285714285,2006,EAST GARO HILLS,2006,2100.86
139320,Meghalaya,EAST GARO HILLS,2006,Kharif,Soyabean,98.0,95.0,Meghalaya,EAST GARO HILLS,2006-07,Hectare,Tonnes,0.9693877551020408,2006,EAST GARO HILLS,2006,2100.86
139321,Meghalaya,EAST GARO HILLS,2006,Kharif,Tapioca,1465.0,7487.0,Meghalaya,EAST GARO HILLS,2006-07,Hectare,Tonnes,5.110580204778157,2006,EAST GARO HILLS,2006,2100.86
139322,Meghalaya,EAST GARO HILLS,2006,Rabi,Arecanut,1035.0,1174.0,Meghalaya,EAST GARO HILLS,2006-07,Hectare,Tonnes,1.1342995169082126,2006,EAST GARO HILLS,2006,2100.86
139323,Meghalaya,EAST GARO HILLS,2006,Rabi,Castor seed,8.0,4.0,Meghalaya,EAST GARO HILLS,2006-07,Hectare,Tonnes,0.5,2006,EAST GARO HILLS,2006,2100.86
139324,Meghalaya,EAST GARO HILLS,2006,Rabi,Cotton(lint),2640.0,3440.0,Meghalaya,EAST GARO HILLS,2006-07,Hectare,Bales,1.303030303030303,2006,EAST GARO HILLS,2006,2100.86
139325,Meghalaya,EAST GARO HILLS,2006,Rabi,Dry chillies,333.0,197.0,Meghalaya,EAST GARO HILLS,2006-07,Hectare,Tonnes,0.5915915915915916,2006,EAST GARO HILLS,2006,2100.86
139326,Meghalaya,EAST GARO HILLS,2006,Rabi,Gram,239.0,139.0,Meghalaya,EAST GARO HILLS,2006-07,Hectare,Tonnes,0.5815899581589958,2006,EAST GARO HILLS,2006,2100.86
139327,Meghalaya,EAST GARO HILLS,2006,Rabi,Jute,217.0,1769.0,Meghalaya,EAST GARO HILLS,2006-07,Hectare,Bales,8.152073732718893,2006,EAST GARO HILLS,2006,2100.86
139329,Meghalaya,EAST GARO HILLS,2006,Rabi,Potato,144.0,961.0,Meghalaya,EAST GARO HILLS,2006-07,Hectare,Tonnes,6.673611111111111,2006,EAST GARO HILLS,2006,2100.86
139330,Meghalaya,EAST GARO HILLS,2006,Rabi,Rapeseed &Mustard,719.0,350.0,Meghalaya,EAST GARO HILLS,2006-07,Hectare,Tonnes,0.4867872044506258,2006,EAST GARO HILLS,2006,2100.86
139331,Meghalaya,EAST GARO HILLS,2006,Rabi,Rice,66.0,87.0,Meghalaya,EAST GARO HILLS,2006-07,Hectare,Tonnes,1.318181818181818,2006,EAST GARO HILLS,2006,2100.86
139332,Meghalaya,EAST GARO HILLS,2006,Rabi,Sesamum,248.0,124.0,Meghalaya,EAST GARO HILLS,2006-07,Hectare,Tonnes,0.5,2006,EAST GARO HILLS,2006,2100.86
139333,Meghalaya,EAST GARO HILLS,2006,Rabi,Small millets,431.0,364.0,Meghalaya,EAST GARO HILLS,2006-07,Hectare,Tonnes,0.8445475638051044,2006,EAST GARO HILLS,2006,2100.86
139334,Meghalaya,EAST GARO HILLS,2006,Rabi,Sweet potato,267.0,832.0,Meghalaya,EAST GARO HILLS,2006-07,Hectare,Tonnes,3.1161048689138577,2006,EAST GARO HILLS,2006,2100.86
139335,Meghalaya,EAST GARO HILLS,2006,Rabi,Tobacco,230.0,150.0,Meghalaya,EAST GARO HILLS,2006-07,Hectare,Tonnes,0.6521739130434783,2006,EAST GARO HILLS,2006,2100.86
139336,Meghalaya,EAST GARO HILLS,2006,Rabi,Turmeric,99.0,546.0,Meghalaya,EAST GARO HILLS,2006-07,Hectare,Tonnes,5.515151515151516,2006,EAST GARO HILLS,2006,2100.86
139337,Meghalaya,EAST GARO HILLS,2006,Rabi,Wheat,54.0,59.0,Meghalaya,EAST GARO HILLS,2006-07,Hectare,Tonnes,1.0925925925925926,2006,EAST GARO HILLS,2006,2100.86
139338,Meghalaya,EAST GARO HILLS,2006,Whole Year,Sugarcane,27.0,74.0,Meghalaya,EAST GARO HILLS,2006-07,Hectare,Tonnes,2.740740740740741,2006,EAST GARO HILLS,2006,2100.86
139339,Meghalaya,EAST GARO HILLS,2006,Winter,Rice,6777.0,10789.0,Meghalaya,EAST GARO HILLS,2006-07,Hectare,Tonnes,1.5920023609266638,2006,EAST GARO HILLS,2006,2100.86
139357,Meghalaya,EAST GARO HILLS,2008,Autumn,Rice,10670.0,15354.0,Meghalaya,EAST GARO HILLS,2008-09,Hectare,Tonnes,1.438987816307404,2008,EAST GARO HILLS,2008,3246.52
139358,Meghalaya,EAST GARO HILLS,2008,Kharif,Arhar/Tur,84.0,72.0,Meghalaya,EAST GARO HILLS,2008-09,Hectare,Tonnes,0.8571428571428571,2008,EAST GARO HILLS,2008,3246.52
139359,Meghalaya,EAST GARO HILLS,2008,Kharif,Castor seed,8.0,4.0,Meghalaya,EAST GARO HILLS,2008-09,Hectare,Tonnes,0.5,2008,EAST GARO HILLS,2008,3246.52
139360,Meghalaya,EAST GARO HILLS,2008,Kharif,Cotton(lint),2539.0,1867.0,Meghalaya,EAST GARO HILLS,2008-09,Hectare,Bales,0.735328869633714,2008,EAST GARO HILLS,2008,3246.52
139362,Meghalaya,EAST GARO HILLS,2008,Kharif,Jute,208.0,1023.0,Meghalaya,EAST GARO HILLS,2008-09,Hectare,Bales,4.918269230769231,2008,EAST GARO HILLS,2008,3246.52
139363,Meghalaya,EAST GARO HILLS,2008,Kharif,Maize,1048.0,1300.0,Meghalaya,EAST GARO HILLS,2008-09,Hectare,Tonnes,1.2404580152671756,2008,EAST GARO HILLS,2008,3246.52
139364,Meghalaya,EAST GARO HILLS,2008,Kharif,Mesta,70.0,320.0,Meghalaya,EAST GARO HILLS,2008-09,Hectare,Bales,4.571428571428571,2008,EAST GARO HILLS,2008,3246.52
139365,Meghalaya,EAST GARO HILLS,2008,Kharif,Sesamum,247.0,124.0,Meghalaya,EAST GARO HILLS,2008-09,Hectare,Tonnes,0.5020242914979757,2008,EAST GARO HILLS,2008,3246.52
139366,Meghalaya,EAST GARO HILLS,2008,Kharif,Small millets,424.0,363.0,Meghalaya,EAST GARO HILLS,2008-09,Hectare,Tonnes,0.8561320754716981,2008,EAST GARO HILLS,2008,3246.52
139367,Meghalaya,EAST GARO HILLS,2008,Kharif,Soyabean,103.0,92.0,Meghalaya,EAST GARO HILLS,2008-09,Hectare,Tonnes,0.8932038834951457,2008,EAST GARO HILLS,2008,3246.52
139368,Meghalaya,EAST GARO HILLS,2008,Rabi,Black pepper,56.0,14.0,Meghalaya,EAST GARO HILLS,2008-09,Hectare,Tonnes,0.25,2008,EAST GARO HILLS,2008,3246.52
139369,Meghalaya,EAST GARO HILLS,2008,Rabi,Gram,226.0,131.0,Meghalaya,EAST GARO HILLS,2008-09,Hectare,Tonnes,0.5796460176991151,2008,EAST GARO HILLS,2008,3246.52
139371,Meghalaya,EAST GARO HILLS,2008,Rabi,Rapeseed &Mustard,694.0,489.0,Meghalaya,EAST GARO HILLS,2008-09,Hectare,Tonnes,0.7046109510086456,2008,EAST GARO HILLS,2008,3246.52
139372,Meghalaya,EAST GARO HILLS,2008,Rabi,Wheat,50.0,55.0,Meghalaya,EAST GARO HILLS,2008-09,Hectare,Tonnes,1.1,2008,EAST GARO HILLS,2008,3246.52
139373,Meghalaya,EAST GARO HILLS,2008,Summer,Rice,83.0,160.0,Meghalaya,EAST GARO HILLS,2008-09,Hectare,Tonnes,1.927710843373494,2008,EAST GARO HILLS,2008,3246.52
139374,Meghalaya,EAST GARO HILLS,2008,Whole Year,Arecanut,1107.0,1258.0,Meghalaya,EAST GARO HILLS,2008-09,Hectare,Tonnes,1.136404697380307,2008,EAST GARO HILLS,2008,3246.52
139375,Meghalaya,EAST GARO HILLS,2008,Whole Year,Banana,1575.0,18412.0,Meghalaya,EAST GARO HILLS,2008-09,Hectare,Tonnes,11.69015873015873,2008,EAST GARO HILLS,2008,3246.52
139376,Meghalaya,EAST GARO HILLS,2008,Whole Year,Dry chillies,340.0,204.0,Meghalaya,EAST GARO HILLS,2008-09,Hectare,Tonnes,0.6,2008,EAST GARO HILLS,2008,3246.52
139377,Meghalaya,EAST GARO HILLS,2008,Whole Year,Potato,138.0,1070.0,Meghalaya,EAST GARO HILLS,2008-09,Hectare,Tonnes,7.753623188405797,2008,EAST GARO HILLS,2008,3246.52
139378,Meghalaya,EAST GARO HILLS,2008,Whole Year,Sugarcane,34.0,93.0,Meghalaya,EAST GARO HILLS,2008-09,Hectare,Tonnes,2.735294117647059,2008,EAST GARO HILLS,2008,3246.52
139379,Meghalaya,EAST GARO HILLS,2008,Whole Year,Sweet potato,260.0,810.0,Meghalaya,EAST GARO HILLS,2008-09,Hectare,Tonnes,3.1153846153846154,2008,EAST GARO HILLS,2008,3246.52
139380,Meghalaya,EAST GARO HILLS,2008,Whole Year,Tapioca,1633.0,8328.0,Meghalaya,EAST GARO HILLS,2008-09,Hectare,Tonnes,5.099816289038579,2008,EAST GARO HILLS,2008,3246.52
139381,Meghalaya,EAST GARO HILLS,2008,Whole Year,Tobacco,198.0,129.0,Meghalaya,EAST GARO HILLS,2008-09,Hectare,Tonnes,0.6515151515151515,2008,EAST GARO HILLS,2008,3246.52
139382,Meghalaya,EAST GARO HILLS,2008,Whole Year,Turmeric,118.0,654.0,Meghalaya,EAST GARO HILLS,2008-09,Hectare,Tonnes,5.5423728813559325,2008,EAST GARO HILLS,2008,3246.52
139383,Meghalaya,EAST GARO HILLS,2008,Winter,Rice,6789.0,10828.0,Meghalaya,EAST GARO HILLS,2008-09,Hectare,Tonnes,1.5949329798202976,2008,EAST GARO HILLS,2008,3246.52
139410,Meghalaya,EAST GARO HILLS,2010,Autumn,Rice,10675.0,15218.0,Meghalaya,EAST GARO HILLS,2010-11,Hectare,Tonnes,1.4255737704918032,2010,EAST GARO HILLS,2010,3014.5
139411,Meghalaya,EAST GARO HILLS,2010,Kharif,Arhar/Tur,78.0,67.0,Meghalaya,EAST GARO HILLS,2010-11,Hectare,Tonnes,0.8589743589743589,2010,EAST GARO HILLS,2010,3014.5
139412,Meghalaya,EAST GARO HILLS,2010,Kharif,Banana,1755.0,25128.0,Meghalaya,EAST GARO HILLS,2010-11,Hectare,Tonnes,14.31794871794872,2010,EAST GARO HILLS,2010,3014.5
139413,Meghalaya,EAST GARO HILLS,2010,Kharif,Castor seed,8.0,3.0,Meghalaya,EAST GARO HILLS,2010-11,Hectare,Tonnes,0.375,2010,EAST GARO HILLS,2010,3014.5
139414,Meghalaya,EAST GARO HILLS,2010,Kharif,Cotton(lint),2506.0,1740.0,Meghalaya,EAST GARO HILLS,2010-11,Hectare,Bales,0.6943335993615323,2010,EAST GARO HILLS,2010,3014.5
139416,Meghalaya,EAST GARO HILLS,2010,Kharif,Jute,195.0,1243.0,Meghalaya,EAST GARO HILLS,2010-11,Hectare,Bales,6.374358974358974,2010,EAST GARO HILLS,2010,3014.5
139417,Meghalaya,EAST GARO HILLS,2010,Kharif,Maize,1040.0,1290.0,Meghalaya,EAST GARO HILLS,2010-11,Hectare,Tonnes,1.2403846153846154,2010,EAST GARO HILLS,2010,3014.5
139418,Meghalaya,EAST GARO HILLS,2010,Kharif,Mesta,62.0,283.0,Meghalaya,EAST GARO HILLS,2010-11,Hectare,Bales,4.564516129032258,2010,EAST GARO HILLS,2010,3014.5
139419,Meghalaya,EAST GARO HILLS,2010,Kharif,Sesamum,238.0,119.0,Meghalaya,EAST GARO HILLS,2010-11,Hectare,Tonnes,0.5,2010,EAST GARO HILLS,2010,3014.5
139420,Meghalaya,EAST GARO HILLS,2010,Kharif,Soyabean,114.0,106.0,Meghalaya,EAST GARO HILLS,2010-11,Hectare,Tonnes,0.9298245614035088,2010,EAST GARO HILLS,2010,3014.5
139421,Meghalaya,EAST GARO HILLS,2010,Kharif,Sweet potato,277.0,863.0,Meghalaya,EAST GARO HILLS,2010-11,Hectare,Tonnes,3.115523465703971,2010,EAST GARO HILLS,2010,3014.5
139422,Meghalaya,EAST GARO HILLS,2010,Kharif,Tapioca,1634.0,8333.0,Meghalaya,EAST GARO HILLS,2010-11,Hectare,Tonnes,5.099755201958384,2010,EAST GARO HILLS,2010,3014.5
139423,Meghalaya,EAST GARO HILLS,2010,Rabi,Gram,220.0,128.0,Meghalaya,EAST GARO HILLS,2010-11,Hectare,Tonnes,0.5818181818181818,2010,EAST GARO HILLS,2010,3014.5
139424,Meghalaya,EAST GARO HILLS,2010,Rabi,Masoor,17.0,9.0,Meghalaya,EAST GARO HILLS,2010-11,Hectare,Tonnes,0.5294117647058824,2010,EAST GARO HILLS,2010,3014.5
139426,Meghalaya,EAST GARO HILLS,2010,Rabi,Peas & beans (Pulses),134.0,79.0,Meghalaya,EAST GARO HILLS,2010-11,Hectare,Tonnes,0.5895522388059702,2010,EAST GARO HILLS,2010,3014.5
139427,Meghalaya,EAST GARO HILLS,2010,Rabi,Rapeseed &Mustard,656.0,448.0,Meghalaya,EAST GARO HILLS,2010-11,Hectare,Tonnes,0.6829268292682927,2010,EAST GARO HILLS,2010,3014.5
139428,Meghalaya,EAST GARO HILLS,2010,Rabi,Rice,86.0,110.0,Meghalaya,EAST GARO HILLS,2010-11,Hectare,Tonnes,1.2790697674418603,2010,EAST GARO HILLS,2010,3014.5
139429,Meghalaya,EAST GARO HILLS,2010,Rabi,Small millets,419.0,358.0,Meghalaya,EAST GARO HILLS,2010-11,Hectare,Tonnes,0.8544152744630071,2010,EAST GARO HILLS,2010,3014.5
139430,Meghalaya,EAST GARO HILLS,2010,Rabi,Tobacco,187.0,122.0,Meghalaya,EAST GARO HILLS,2010-11,Hectare,Tonnes,0.6524064171122995,2010,EAST GARO HILLS,2010,3014.5
139431,Meghalaya,EAST GARO HILLS,2010,Rabi,Wheat,44.0,49.0,Meghalaya,EAST GARO HILLS,2010-11,Hectare,Tonnes,1.1136363636363635,2010,EAST GARO HILLS,2010,3014.5
139432,Meghalaya,EAST GARO HILLS,2010,Whole Year,Arecanut,1250.0,1412.0,Meghalaya,EAST GARO HILLS,2010-11,Hectare,Tonnes,1.1296,2010,EAST GARO HILLS,2010,3014.5
139433,Meghalaya,EAST GARO HILLS,2010,Whole Year,Black pepper,62.0,23.0,Meghalaya,EAST GARO HILLS,2010-11,Hectare,Tonnes,0.3709677419354839,2010,EAST GARO HILLS,2010,3014.5
139434,Meghalaya,EAST GARO HILLS,2010,Whole Year,Cashewnut,293.0,289.0,Meghalaya,EAST GARO HILLS,2010-11,Hectare,Tonnes,0.9863481228668942,2010,EAST GARO HILLS,2010,3014.5
139435,Meghalaya,EAST GARO HILLS,2010,Whole Year,Dry chillies,348.0,205.0,Meghalaya,EAST GARO HILLS,2010-11,Hectare,Tonnes,0.5890804597701149,2010,EAST GARO HILLS,2010,3014.5
139436,Meghalaya,EAST GARO HILLS,2010,Whole Year,Potato,130.0,1008.0,Meghalaya,EAST GARO HILLS,2010-11,Hectare,Tonnes,7.753846153846154,2010,EAST GARO HILLS,2010,3014.5
139437,Meghalaya,EAST GARO HILLS,2010,Whole Year,Sugarcane,24.0,66.0,Meghalaya,EAST GARO HILLS,2010-11,Hectare,Tonnes,2.75,2010,EAST GARO HILLS,2010,3014.5
139438,Meghalaya,EAST GARO HILLS,2010,Whole Year,Turmeric,98.0,543.0,Meghalaya,EAST GARO HILLS,2010-11,Hectare,Tonnes,5.540816326530612,2010,EAST GARO HILLS,2010,3014.5
139439,Meghalaya,EAST GARO HILLS,2010,Winter,Rice,6809.0,10840.0,Meghalaya,EAST GARO HILLS,2010-11,Hectare,Tonnes,1.5920105742399766,2010,EAST GARO HILLS,2010,3014.5
139470,Meghalaya,EAST GARO HILLS,2012,Autumn,Rice,10807.0,23015.0,Meghalaya,EAST GARO HILLS,2012-13,Hectare,Tonnes,2.1296381974646064,2012,EAST GARO HILLS,2012,11.55
139471,Meghalaya,EAST GARO HILLS,2012,Kharif,Arhar/Tur,117.0,109.0,Meghalaya,EAST GARO HILLS,2012-13,Hectare,Tonnes,0.9316239316239316,2012,EAST GARO HILLS,2012,11.55
139472,Meghalaya,EAST GARO HILLS,2012,Kharif,Banana,1863.0,27159.0,Meghalaya,EAST GARO HILLS,2012-13,Hectare,Tonnes,14.578099838969404,2012,EAST GARO HILLS,2012,11.55
139473,Meghalaya,EAST GARO HILLS,2012,Kharif,Castor seed,24.0,18.0,Meghalaya,EAST GARO HILLS,2012-13,Hectare,Tonnes,0.75,2012,EAST GARO HILLS,2012,11.55
139474,Meghalaya,EAST GARO HILLS,2012,Kharif,Cotton(lint),2655.0,2328.0,Meghalaya,EAST GARO HILLS,2012-13,Hectare,Bales,0.8768361581920904,2012,EAST GARO HILLS,2012,11.55
139476,Meghalaya,EAST GARO HILLS,2012,Kharif,Jute,436.0,4849.0,Meghalaya,EAST GARO HILLS,2012-13,Hectare,Bales,11.121559633027523,2012,EAST GARO HILLS,2012,11.55
139477,Meghalaya,EAST GARO HILLS,2012,Kharif,Mesta,69.0,433.0,Meghalaya,EAST GARO HILLS,2012-13,Hectare,Bales,6.27536231884058,2012,EAST GARO HILLS,2012,11.55
139478,Meghalaya,EAST GARO HILLS,2012,Kharif,Sesamum,331.0,261.0,Meghalaya,EAST GARO HILLS,2012-13,Hectare,Tonnes,0.7885196374622356,2012,EAST GARO HILLS,2012,11.55
139479,Meghalaya,EAST GARO HILLS,2012,Kharif,Soyabean,178.0,180.0,Meghalaya,EAST GARO HILLS,2012-13,Hectare,Tonnes,1.0112359550561798,2012,EAST GARO HILLS,2012,11.55
139480,Meghalaya,EAST GARO HILLS,2012,Kharif,Sweet potato,298.0,969.0,Meghalaya,EAST GARO HILLS,2012-13,Hectare,Tonnes,3.251677852348993,2012,EAST GARO HILLS,2012,11.55
139481,Meghalaya,EAST GARO HILLS,2012,Kharif,Tapioca,2023.0,11303.0,Meghalaya,EAST GARO HILLS,2012-13,Hectare,Tonnes,5.587246663371231,2012,EAST GARO HILLS,2012,11.55
139482,Meghalaya,EAST GARO HILLS,2012,Rabi,Gram,715.0,670.0,Meghalaya,EAST GARO HILLS,2012-13,Hectare,Tonnes,0.9370629370629372,2012,EAST GARO HILLS,2012,11.55
139483,Meghalaya,EAST GARO HILLS,2012,Rabi,Peas & beans (Pulses),296.0,310.0,Meghalaya,EAST GARO HILLS,2012-13,Hectare,Tonnes,1.0472972972972974,2012,EAST GARO HILLS,2012,11.55
139484,Meghalaya,EAST GARO HILLS,2012,Rabi,Rapeseed &Mustard,888.0,827.0,Meghalaya,EAST GARO HILLS,2012-13,Hectare,Tonnes,0.9313063063063064,2012,EAST GARO HILLS,2012,11.55
139485,Meghalaya,EAST GARO HILLS,2012,Rabi,Rice,95.0,136.0,Meghalaya,EAST GARO HILLS,2012-13,Hectare,Tonnes,1.431578947368421,2012,EAST GARO HILLS,2012,11.55
139486,Meghalaya,EAST GARO HILLS,2012,Rabi,Small millets,526.0,502.0,Meghalaya,EAST GARO HILLS,2012-13,Hectare,Tonnes,0.9543726235741444,2012,EAST GARO HILLS,2012,11.55
139487,Meghalaya,EAST GARO HILLS,2012,Rabi,Tobacco,231.0,210.0,Meghalaya,EAST GARO HILLS,2012-13,Hectare,Tonnes,0.9090909090909092,2012,EAST GARO HILLS,2012,11.55
139488,Meghalaya,EAST GARO HILLS,2012,Rabi,Wheat,47.0,54.0,Meghalaya,EAST GARO HILLS,2012-13,Hectare,Tonnes,1.148936170212766,2012,EAST GARO HILLS,2012,11.55
139489,Meghalaya,EAST GARO HILLS,2012,Whole Year,Arecanut,2142.0,2539.0,Meghalaya,EAST GARO HILLS,2012-13,Hectare,Tonnes,1.1853408029878618,2012,EAST GARO HILLS,2012,11.55
139490,Meghalaya,EAST GARO HILLS,2012,Whole Year,Black pepper,68.0,33.0,Meghalaya,EAST GARO HILLS,2012-13,Hectare,Tonnes,0.4852941176470588,2012,EAST GARO HILLS,2012,11.55
139491,Meghalaya,EAST GARO HILLS,2012,Whole Year,Cashewnut,308.0,314.0,Meghalaya,EAST GARO HILLS,2012-13,Hectare,Tonnes,1.0194805194805194,2012,EAST GARO HILLS,2012,11.55
139492,Meghalaya,EAST GARO HILLS,2012,Whole Year,Dry chillies,407.0,252.0,Meghalaya,EAST GARO HILLS,2012-13,Hectare,Tonnes,0.6191646191646192,2012,EAST GARO HILLS,2012,11.55
139493,Meghalaya,EAST GARO HILLS,2012,Whole Year,Maize,1084.0,1987.0,Meghalaya,EAST GARO HILLS,2012-13,Hectare,Tonnes,1.833025830258303,2012,EAST GARO HILLS,2012,11.55
139494,Meghalaya,EAST GARO HILLS,2012,Whole Year,Potato,135.0,1069.0,Meghalaya,EAST GARO HILLS,2012-13,Hectare,Tonnes,7.9185185185185185,2012,EAST GARO HILLS,2012,11.55
139495,Meghalaya,EAST GARO HILLS,2012,Whole Year,Sugarcane,34.0,101.0,Meghalaya,EAST GARO HILLS,2012-13,Hectare,Tonnes,2.9705882352941178,2012,EAST GARO HILLS,2012,11.55
139496,Meghalaya,EAST GARO HILLS,2012,Whole Year,Turmeric,109.0,665.0,Meghalaya,EAST GARO HILLS,2012-13,Hectare,Tonnes,6.10091743119266,2012,EAST GARO HILLS,2012,11.55
139497,Meghalaya,EAST GARO HILLS,2012,Winter,Rice,6831.0,11733.0,Meghalaya,EAST GARO HILLS,2012-13,Hectare,Tonnes,1.717610891523935,2012,EAST GARO HILLS,2012,11.55
139498,Meghalaya,EAST GARO HILLS,2013,Autumn,Rice,5837.0,13713.0,Meghalaya,EAST GARO HILLS,2013-14,Hectare,Tonnes,2.349323282508138,2013,EAST GARO HILLS,2013,1715.25
