index,State_Name,District_Name,Crop_Year,Season,Crop,Area,Production,State,District,Year,Area Units,Production Units,Yield,Year_Normalized
139086,Meghalaya,EAST GARO HILLS,1997,Kharif,Arhar/Tur,111.0,95.0,Meghalaya,EAST GARO HILLS,1997-98,Hectare,Tonnes,0.8558558558558559,1997
139087,Meghalaya,EAST GARO HILLS,1997,Kharif,Cotton(lint),2720.0,1960.0,Meghalaya,EAST GARO HILLS,1997-98,Hectare,Bales,0.7205882352941176,1997
139089,Meghalaya,EAST GARO HILLS,1997,Kharif,Jute,312.0,2916.0,Meghalaya,EAST GARO HILLS,1997-98,Hectare,Bales,9.346153846153848,1997
139090,Meghalaya,EAST GARO HILLS,1997,Kharif,Maize,1090.0,1362.0,Meghalaya,EAST GARO HILLS,1997-98,Hectare,Tonnes,1.2495412844036695,1997
139091,Meghalaya,EAST GARO HILLS,1997,Kharif,Mesta,278.0,1354.0,Meghalaya,EAST GARO HILLS,1997-98,Hectare,Bales,4.870503597122302,1997
139092,Meghalaya,EAST GARO HILLS,1997,Kharif,Rice,17301.0,22730.0,Meghalaya,EAST GARO HILLS,1997-98,Hectare,Tonnes,1.3137968903531587,1997
139093,Meghalaya,EAST GARO HILLS,1997,Kharif,Sesamum,295.0,147.0,Meghalaya,EAST GARO HILLS,1997-98,Hectare,Tonnes,0.4983050847457627,1997
139094,Meghalaya,EAST GARO HILLS,1997,Kharif,Small millets,494.0,415.0,Meghalaya,EAST GARO HILLS,1997-98,Hectare,Tonnes,0.840080971659919,1997
139095,Meghalaya,EAST GARO HILLS,1997,Kharif,Soyabean,138.0,136.0,Meghalaya,EAST GARO HILLS,1997-98,Hectare,Tonnes,0.9855072463768116,1997
139096,Meghalaya,EAST GARO HILLS,1997,Rabi,Castor seed,11.0,5.0,Meghalaya,EAST GARO HILLS,1997-98,Hectare,Tonnes,0.4545454545454545,1997
139097,Meghalaya,EAST GARO HILLS,1997,Rabi,Gram,255.0,152.0,Meghalaya,EAST GARO HILLS,1997-98,Hectare,Tonnes,0.596078431372549,1997
139100,Meghalaya,EAST GARO HILLS,1997,Rabi,Rapeseed &Mustard,749.0,355.0,Meghalaya,EAST GARO HILLS,1997-98,Hectare,Tonnes,0.4739652870493992,1997
139101,Meghalaya,EAST GARO HILLS,1997,Rabi,Tobacco,253.0,166.0,Meghalaya,EAST GARO HILLS,1997-98,Hectare,Tonnes,0.6561264822134387,1997
139102,Meghalaya,EAST GARO HILLS,1997,Rabi,Wheat,72.0,83.0,Meghalaya,EAST GARO HILLS,1997-98,Hectare,Tonnes,1.1527777777777777,1997
139103,Meghalaya,EAST GARO HILLS,1997,Whole Year,Arecanut,793.0,749.0,Meghalaya,EAST GARO HILLS,1997-98,Hectare,Tonnes,0.9445145018915512,1997
139104,Meghalaya,EAST GARO HILLS,1997,Whole Year,Banana,1075.0,13310.0,Meghalaya,EAST GARO HILLS,1997-98,Hectare,Tonnes,12.38139534883721,1997
139105,Meghalaya,EAST GARO HILLS,1997,Whole Year,Dry chillies,324.0,194.0,Meghalaya,EAST GARO HILLS,1997-98,Hectare,Tonnes,0.5987654320987654,1997
139106,Meghalaya,EAST GARO HILLS,1997,Whole Year,Potato,101.0,795.0,Meghalaya,EAST GARO HILLS,1997-98,Hectare,Tonnes,7.871287128712871,1997
139107,Meghalaya,EAST GARO HILLS,1997,Whole Year,Sugarcane,21.0,58.0,Meghalaya,EAST GARO HILLS,1997-98,Hectare,Tonnes,2.761904761904762,1997
139108,Meghalaya,EAST GARO HILLS,1997,Whole Year,Sweet potato,251.0,782.0,Meghalaya,EAST GARO HILLS,1997-98,Hectare,Tonnes,3.1155378486055776,1997
139109,Meghalaya,EAST GARO HILLS,1997,Whole Year,Tapioca,1470.0,7319.0,Meghalaya,EAST GARO HILLS,1997-98,Hectare,Tonnes,4.97891156462585,1997
139110,Meghalaya,EAST GARO HILLS,1997,Whole Year,Turmeric,100.0,556.0,Meghalaya,EAST GARO HILLS,1997-98,Hectare,Tonnes,5.56,1997
139111,Meghalaya,EAST GARO HILLS,1998,Kharif,Arhar/Tur,106.0,90.0,Meghalaya,EAST GARO HILLS,1998-99,Hectare,Tonnes,0.8490566037735849,1998
139112,Meghalaya,EAST GARO HILLS,1998,Kharif,Cotton(lint),2726.0,1972.0,Meghalaya,EAST GARO HILLS,1998-99,Hectare,Bales,0.723404255319149,1998
139114,Meghalaya,EAST GARO HILLS,1998,Kharif,Jute,309.0,2720.0,Meghalaya,EAST GARO HILLS,1998-99,Hectare,Bales,8.802588996763754,1998
139115,Meghalaya,EAST GARO HILLS,1998,Kharif,Maize,1093.0,1366.0,Meghalaya,EAST GARO HILLS,1998-99,Hectare,Tonnes,1.2497712717291858,1998
139116,Meghalaya,EAST GARO HILLS,1998,Kharif,Mesta,270.0,1242.0,Meghalaya,EAST GARO HILLS,1998-99,Hectare,Bales,4.6,1998
139117,Meghalaya,EAST GARO HILLS,1998,Kharif,Rice,17167.0,25215.0,Meghalaya,EAST GARO HILLS,1998-99,Hectare,Tonnes,1.4688064309430884,1998
139118,Meghalaya,EAST GARO HILLS,1998,Kharif,Sesamum,293.0,147.0,Meghalaya,EAST GARO HILLS,1998-99,Hectare,Tonnes,0.5017064846416383,1998
139119,Meghalaya,EAST GARO HILLS,1998,Kharif,Small millets,492.0,414.0,Meghalaya,EAST GARO HILLS,1998-99,Hectare,Tonnes,0.8414634146341463,1998
139120,Meghalaya,EAST GARO HILLS,1998,Kharif,Soyabean,138.0,136.0,Meghalaya,EAST GARO HILLS,1998-99,Hectare,Tonnes,0.9855072463768116,1998
139121,Meghalaya,EAST GARO HILLS,1998,Rabi,Gram,255.0,153.0,Meghalaya,EAST GARO HILLS,1998-99,Hectare,Tonnes,0.6,1998
139124,Meghalaya,EAST GARO HILLS,1998,Rabi,Rapeseed &Mustard,753.0,426.0,Meghalaya,EAST GARO HILLS,1998-99,Hectare,Tonnes,0.5657370517928287,1998
139125,Meghalaya,EAST GARO HILLS,1998,Rabi,Wheat,72.0,114.0,Meghalaya,EAST GARO HILLS,1998-99,Hectare,Tonnes,1.5833333333333333,1998
139126,Meghalaya,EAST GARO HILLS,1998,Whole Year,Arecanut,796.0,752.0,Meghalaya,EAST GARO HILLS,1998-99,Hectare,Tonnes,0.9447236180904522,1998
139127,Meghalaya,EAST GARO HILLS,1998,Whole Year,Banana,1032.0,13106.0,Meghalaya,EAST GARO HILLS,1998-99,Hectare,Tonnes,12.699612403100776,1998
139128,Meghalaya,EAST GARO HILLS,1998,Whole Year,Dry chillies,324.0,194.0,Meghalaya,EAST GARO HILLS,1998-99,Hectare,Tonnes,0.5987654320987654,1998
139129,Meghalaya,EAST GARO HILLS,1998,Whole Year,Potato,111.0,873.0,Meghalaya,EAST GARO HILLS,1998-99,Hectare,Tonnes,7.864864864864865,1998
139130,Meghalaya,EAST GARO HILLS,1998,Whole Year,Sugarcane,21.0,58.0,Meghalaya,EAST GARO HILLS,1998-99,Hectare,Tonnes,2.761904761904762,1998
139131,Meghalaya,EAST GARO HILLS,1998,Whole Year,Sweet potato,255.0,794.0,Meghalaya,EAST GARO HILLS,1998-99,Hectare,Tonnes,3.1137254901960785,1998
139132,Meghalaya,EAST GARO HILLS,1998,Whole Year,Tapioca,1469.0,7345.0,Meghalaya,EAST GARO HILLS,1998-99,Hectare,Tonnes,5.0,1998
139133,Meghalaya,EAST GARO HILLS,1998,Whole Year,Tobacco,253.0,168.0,Meghalaya,EAST GARO HILLS,1998-99,Hectare,Tonnes,0.6640316205533597,1998
139134,Meghalaya,EAST GARO HILLS,1998,Whole Year,Turmeric,100.0,556.0,Meghalaya,EAST GARO HILLS,1998-99,Hectare,Tonnes,5.56,1998
139135,Meghalaya,EAST GARO HILLS,1999,Kharif,Arhar/Tur,110.0,94.0,Meghalaya,EAST GARO HILLS,1999-00,Hectare,Tonnes,0.8545454545454545,1999
139136,Meghalaya,EAST GARO HILLS,1999,Kharif,Castor seed,8.0,4.0,Meghalaya,EAST GARO HILLS,1999-00,Hectare,Tonnes,0.5,1999
139137,Meghalaya,EAST GARO HILLS,1999,Kharif,Cotton(lint),2730.0,1991.0,Meghalaya,EAST GARO HILLS,1999-00,Hectare,Bales,0.7293040293040293,1999
139139,Meghalaya,EAST GARO HILLS,1999,Kharif,Jute,312.0,2753.0,Meghalaya,EAST GARO HILLS,1999-00,Hectare,Bales,8.823717948717949,1999
139140,Meghalaya,EAST GARO HILLS,1999,Kharif,Maize,1094.0,1365.0,Meghalaya,EAST GARO HILLS,1999-00,Hectare,Tonnes,1.2477148080438756,1999
139141,Meghalaya,EAST GARO HILLS,1999,Kharif,Mesta,270.0,1244.0,Meghalaya,EAST GARO HILLS,1999-00,Hectare,Bales,4.607407407407408,1999
139142,Meghalaya,EAST GARO HILLS,1999,Kharif,Rice,16970.0,24669.0,Meghalaya,EAST GARO HILLS,1999-00,Hectare,Tonnes,1.453682969946965,1999
139143,Meghalaya,EAST GARO HILLS,1999,Kharif,Sesamum,285.0,143.0,Meghalaya,EAST GARO HILLS,1999-00,Hectare,Tonnes,0.5017543859649123,1999
139144,Meghalaya,EAST GARO HILLS,1999,Kharif,Soyabean,142.0,141.0,Meghalaya,EAST GARO HILLS,1999-00,Hectare,Tonnes,0.9929577464788732,1999
139145,Meghalaya,EAST GARO HILLS,1999,Rabi,Gram,253.0,152.0,Meghalaya,EAST GARO HILLS,1999-00,Hectare,Tonnes,0.6007905138339921,1999
139146,Meghalaya,EAST GARO HILLS,1999,Rabi,Rapeseed &Mustard,752.0,435.0,Meghalaya,EAST GARO HILLS,1999-00,Hectare,Tonnes,0.5784574468085106,1999
139147,Meghalaya,EAST GARO HILLS,1999,Rabi,Rice,100.0,200.0,Meghalaya,EAST GARO HILLS,1999-00,Hectare,Tonnes,2.0,1999
139148,Meghalaya,EAST GARO HILLS,1999,Whole Year,Arecanut,797.0,753.0,Meghalaya,EAST GARO HILLS,1999-00,Hectare,Tonnes,0.944792973651192,1999
139149,Meghalaya,EAST GARO HILLS,1999,Whole Year,Banana,1089.0,13665.0,Meghalaya,EAST GARO HILLS,1999-00,Hectare,Tonnes,12.548209366391184,1999
139150,Meghalaya,EAST GARO HILLS,1999,Whole Year,Dry chillies,330.0,198.0,Meghalaya,EAST GARO HILLS,1999-00,Hectare,Tonnes,0.6,1999
139151,Meghalaya,EAST GARO HILLS,1999,Whole Year,Potato,110.0,855.0,Meghalaya,EAST GARO HILLS,1999-00,Hectare,Tonnes,7.772727272727272,1999
139152,Meghalaya,EAST GARO HILLS,1999,Whole Year,Sugarcane,24.0,70.0,Meghalaya,EAST GARO HILLS,1999-00,Hectare,Tonnes,2.9166666666666665,1999
139153,Meghalaya,EAST GARO HILLS,1999,Whole Year,Sweet potato,256.0,797.0,Meghalaya,EAST GARO HILLS,1999-00,Hectare,Tonnes,3.11328125,1999
139154,Meghalaya,EAST GARO HILLS,1999,Whole Year,Tapioca,1472.0,7472.0,Meghalaya,EAST GARO HILLS,1999-00,Hectare,Tonnes,5.076086956521739,1999
139155,Meghalaya,EAST GARO HILLS,1999,Whole Year,Tobacco,254.0,169.0,Meghalaya,EAST GARO HILLS,1999-00,Hectare,Tonnes,0.6653543307086615,1999
139156,Meghalaya,EAST GARO HILLS,1999,Whole Year,Turmeric,100.0,612.0,Meghalaya,EAST GARO HILLS,1999-00,Hectare,Tonnes,6.12,1999
139157,Meghalaya,EAST GARO HILLS,2000,Kharif,Arhar/Tur,109.0,92.0,Meghalaya,EAST GARO HILLS,2000-01,Hectare,Tonnes,0.8440366972477065,2000
139158,Meghalaya,EAST GARO HILLS,2000,Kharif,Castor seed,8.0,4.0,Meghalaya,EAST GARO HILLS,2000-01,Hectare,Tonnes,0.5,2000
139159,Meghalaya,EAST GARO HILLS,2000,Kharif,Cotton(lint),2734.0,3506.0,Meghalaya,EAST GARO HILLS,2000-01,Hectare,Bales,1.282370153621068,2000
