District,Year,Rainfall
EAST GARO HILLS,2006,2100.86
EAST GARO HILLS,2008,3246.52
EAST GARO HILLS,2010,3014.5
EAST GARO HILLS,2012,11.55
EAST GARO HILLS,2013,1715.25
EAST GARO HILLS,2014,1141.6
EAST GARO HILLS,2016,2339.82
EAST JAINTIA HILLS,2014,0.0
EAST JAINTIA HILLS,2016,4416.4
EAST KHASI HILLS,2006,847.9666666666667
EAST KHASI HILLS,2008,1085.5
EAST KHASI HILLS,2010,2610.603333333333
EAST KHASI HILLS,2012,1253.6666666666667
EAST KHASI HILLS,2013,829.8533333333334
EAST KHASI HILLS,2014,5412.57
EAST KHASI HILLS,2016,22126.96
NORTH GARO HILLS,2014,0.0
NORTH GARO HILLS,2016,81.6
RI BHOI,2006,869.5375
RI BHOI,2008,874.5525
RI BHOI,2010,1699.365
RI BHOI,2012,675.1275
RI BHOI,2013,0.0
RI BHOI,2014,342.0
RI BHOI,2016,264.26
SOUTH GARO HILLS,2006,1919.4
SOUTH GARO HILLS,2008,2322.3
SOUTH GARO HILLS,2010,1370.36
SOUTH GARO HILLS,2012,1821.0
SOUTH GARO HILLS,2013,1323.0
SOUTH GARO HILLS,2014,2023.99
SOUTH GARO HILLS,2016,2556.4
SOUTH WEST GARO HILLS,2014,0.0
SOUTH WEST GARO HILLS,2016,1035.2
SOUTH WEST KHASI HILLS,2014,0.0
SOUTH WEST KHASI HILLS,2016,4981.1
WEST GARO HILLS,2006,2628.7
WEST GARO HILLS,2008,4429.27
WEST GARO HILLS,2010,2662.1
WEST GARO HILLS,2012,2934.5
WEST GARO HILLS,2013,2195.8
WEST GARO HILLS,2014,2829.8
WEST GARO HILLS,2016,2416.2
WEST JAINTIA HILLS,2006,2903.2
WEST JAINTIA HILLS,2008,4831.02
WEST JAINTIA HILLS,2010,3943.06
WEST JAINTIA HILLS,2012,3597.2
WEST JAINTIA HILLS,2013,2608.1
WEST JAINTIA HILLS,2014,3851.3
WEST JAINTIA HILLS,2016,9101.5
WEST KHASI HILLS,2006,1124.4333333333334
WEST KHASI HILLS,2008,1203.1333333333334
WEST KHASI HILLS,2010,1500.5666666666666
WEST KHASI HILLS,2012,1160.2666666666667
WEST KHASI HILLS,2013,802.5666666666666
WEST KHASI HILLS,2014,1362.1
WEST KHASI HILLS,2016,2503.52
